epsilon,gamma_t,AGF
-7.551020408163265640e-02,2.947051702551809708e-03,9.966565936333422471e-01
-7.551020408163265640e-02,3.727593720314941773e-03,9.959812610879136274e-01
-7.551020408163265640e-02,4.714866363457394238e-03,9.951282961816843020e-01
-7.551020408163265640e-02,5.963623316594642357e-03,9.940513849462646601e-01
-7.551020408163265640e-02,7.543120063354623143e-03,9.926923842866972603e-01
-7.551020408163265640e-02,9.540954763499944619e-03,9.909784529508542938e-01
-7.551020408163265640e-02,1.206792640639328847e-02,9.888185490399989952e-01
-7.551020408163265640e-02,1.526417967175233356e-02,9.860992674955970649e-01
-7.551020408163265640e-02,1.930697728883249559e-02,9.826799284787984812e-01
-7.551020408163265640e-02,2.442053094548649744e-02,9.783869339165854884e-01
-7.551020408163265640e-02,3.088843596477484910e-02,9.730075255820027635e-01
-7.551020408163265640e-02,3.906939937054620948e-02,9.662832199518999188e-01
-7.551020408163265640e-02,4.941713361323837872e-02,9.579035455942868094e-01
-7.551020408163265640e-02,6.250551925273975518e-02,9.475010990740233563e-01
-7.551020408163265640e-02,7.906043210907701124e-02,9.346496218829283276e-01
-7.551020408163265640e-02,1.000000000000000056e-01,9.188675674772723845e-01
-7.142857142857142461e-02,9.999999999999999547e-07,9.993099613749795163e-01
-7.142857142857142461e-02,1.264855216855295881e-06,9.993097363715774950e-01
-7.142857142857142461e-02,1.599858719606057360e-06,9.993094411442217107e-01
-7.142857142857142461e-02,2.023589647725155726e-06,9.993090732811019672e-01
-7.142857142857142461e-02,2.559547922699533382e-06,9.993086089482996481e-01
-7.142857142857142461e-02,3.237457542817646685e-06,9.993080176855571040e-01
-7.142857142857142461e-02,4.094915062380427237e-06,9.993072730804475334e-01
-7.142857142857142461e-02,5.179474679231212330e-06,9.993063286939768419e-01
-7.142857142857142461e-02,6.551285568595509496e-06,9.993051343208990689e-01
-7.142857142857142461e-02,8.286427728546842542e-06,9.993036286651342248e-01
-7.142857142857142461e-02,1.048113134154685250e-05,9.993017151358282169e-01
-7.142857142857142461e-02,1.325711365590110898e-05,9.992993025409003804e-01
-7.142857142857142461e-02,1.676832936811009972e-05,9.992962485283064522e-01
-7.142857142857142461e-02,2.120950887920192640e-05,9.992923851157926585e-01
-7.142857142857142461e-02,2.682695795279727390e-05,9.992875000386335360e-01
-7.142857142857142461e-02,3.393221771895329857e-05,9.992813198242062045e-01
-7.142857142857142461e-02,4.291934260128778017e-05,9.992735038029695316e-01
-7.142857142857142461e-02,5.428675439323859403e-05,9.992636182949662382e-01
-7.142857142857142461e-02,6.866488450042998925e-05,9.992511113520664567e-01
-7.142857142857142461e-02,8.685113737513520580e-05,9.992352942388363912e-01
-7.142857142857142461e-02,1.098541141987558346e-04,9.992152877048071646e-01
-7.142857142857142461e-02,1.389495494373137348e-04,9.991899862030929613e-01
-7.142857142857142461e-02,1.757510624854793067e-04,9.991579853302637870e-01
-7.142857142857142461e-02,2.222996482526195465e-04,9.991175063268429302e-01
-7.142857142857142461e-02,2.811768697974231118e-04,9.990663148704824748e-01
-7.142857142857142461e-02,3.556480306223128661e-04,9.990015716692235426e-01
