T,AGF,Avg_Leakage
1.405000000000000000e+02,9.999929902028480422e-01,7.009729537155173773e-06
1.410000000000000000e+02,9.999985384320092541e-01,1.461565301896783353e-06
1.415000000000000000e+02,9.999862330450268733e-01,1.376670178387939814e-05
1.420000000000000000e+02,9.999978402321374471e-01,2.159764061371305388e-06
1.425000000000000000e+02,9.999919443930064267e-01,8.055524800987257095e-06
1.430000000000000000e+02,9.999986057340655154e-01,1.394263971166154192e-06
1.435000000000000000e+02,9.999852138896011544e-01,1.478582518799065326e-05
1.440000000000000000e+02,9.999971756462228134e-01,2.824345010865592087e-06
1.445000000000000000e+02,9.999924011120814304e-01,7.598818271614682374e-06
1.450000000000000000e+02,9.999983765207638431e-01,1.623476780010513210e-06
1.455000000000000000e+02,9.999866583054173308e-01,1.334146326237295455e-05
1.460000000000000000e+02,9.999966541724460978e-01,3.345805666743473239e-06
1.465000000000000000e+02,9.999942296577662981e-01,5.770304928875980011e-06
1.470000000000000000e+02,9.999980641653347657e-01,1.935828429555641605e-06
1.475000000000000000e+02,9.999900157182211036e-01,9.984153194197986636e-06
1.480000000000000000e+02,9.999958121841476810e-01,4.187769941932373285e-06
1.485000000000000000e+02,9.999965154429666381e-01,3.484545093690449846e-06
1.490000000000000000e+02,9.999973956709633516e-01,2.604313843246330862e-06
1.495000000000000000e+02,9.999938826139906922e-01,6.117338489541879198e-06
1.500000000000000000e+02,9.999940331366700130e-01,5.966784996314089540e-06
1.505000000000000000e+02,9.999981775359600977e-01,1.822460761191635470e-06
1.510000000000000000e+02,9.999960987263797341e-01,3.901245233750572083e-06
1.515000000000000000e+02,9.999968844391744494e-01,3.115548663945588714e-06
1.520000000000000000e+02,9.999912681270561876e-01,8.731749142509848127e-06
1.525000000000000000e+02,9.999986775126238348e-01,1.322485266741502130e-06
1.530000000000000000e+02,9.999944026330165325e-01,5.597321070527350173e-06
1.535000000000000000e+02,9.999984196342801557e-01,1.580362550823721790e-06
1.540000000000000000e+02,9.999883483018390251e-01,1.165151162596522738e-05
1.545000000000000000e+02,9.999982645845010287e-01,1.735412957004633938e-06
1.550000000000000000e+02,9.999930649888174594e-01,6.934948892811654275e-06
1.555000000000000000e+02,9.999987755053952876e-01,1.224492885754102645e-06
1.560000000000000000e+02,9.999865873980802178e-01,1.341236644258891886e-05
1.565000000000000000e+02,9.999975996544107071e-01,2.400340308739146167e-06
1.570000000000000000e+02,9.999928858840710921e-01,7.114054030754601854e-06
1.575000000000000000e+02,9.999986272016890831e-01,1.372796643028806329e-06
1.580000000000000000e+02,9.999869544416599698e-01,1.304533727952694733e-05
1.585000000000000000e+02,9.999970886732858499e-01,2.911313471076759640e-06
1.590000000000000000e+02,9.999940838472808347e-01,5.916112463255629450e-06
1.595000000000000000e+02,9.999983894562033404e-01,1.610540498520052211e-06
1.600000000000000000e+02,9.999894126036460440e-01,1.058725138669558419e-05
1.605000000000000000e+02,9.999965204911808181e-01,3.479478657975043632e-06
1.610000000000000000e+02,9.999960834295107404e-01,3.916554751182133032e-06
1.615000000000000000e+02,9.999979682289232841e-01,2.031762228793532188e-06
1.620000000000000000e+02,9.999929292778734213e-01,7.070658265329043957e-06
1.625000000000000000e+02,9.999953017491453044e-01,4.698195953611872255e-06
1.630000000000000000e+02,9.999978853313070681e-01,2.114664591323922593e-06
1.635000000000000000e+02,9.999970497363348532e-01,2.950245488797520466e-06
1.640000000000000000e+02,9.999961324207973234e-01,3.867560420034443780e-06
1.645000000000000000e+02,9.999930966753012296e-01,6.903237232736003648e-06
1.650000000000000000e+02,9.999987439013160451e-01,1.256096803237127801e-06
1.655000000000000000e+02,9.999956155726532625e-01,4.384396517176369912e-06
1.660000000000000000e+02,9.999981193952358627e-01,1.880600314141389617e-06
1.665000000000000000e+02,9.999903327523383956e-01,9.667112547573353254e-06
1.670000000000000000e+02,9.999986087488969000e-01,1.391249250581871877e-06
1.675000000000000000e+02,9.999941794338365053e-01,5.820520648347482506e-06
1.680000000000000000e+02,9.999988380794111453e-01,1.161918912195858411e-06
1.685000000000000000e+02,9.999881156485986855e-01,1.188416459707575257e-05
1.690000000000000000e+02,9.999980016347347345e-01,1.998362000099618285e-06
