epsilon,gamma_T,AGF
-8.367346938775510612e-02,9.540954763499944619e-03,9.952777810377274603e-01
-8.367346938775510612e-02,1.206792640639328847e-02,9.945316080723027863e-01
-8.367346938775510612e-02,1.526417967175233356e-02,9.926784366110849023e-01
-8.367346938775510612e-02,1.930697728883249559e-02,9.911151222134807481e-01
-8.367346938775510612e-02,2.442053094548649744e-02,9.883716862899573075e-01
-8.367346938775510612e-02,3.088843596477484910e-02,9.860130402782678605e-01
-8.367346938775510612e-02,3.906939937054620948e-02,9.820122038672904896e-01
-8.367346938775510612e-02,4.941713361323837872e-02,9.783438409976633610e-01
-8.367346938775510612e-02,6.250551925273975518e-02,9.728629576250165112e-01
-8.367346938775510612e-02,7.906043210907701124e-02,9.645621387924637746e-01
-8.367346938775510612e-02,1.000000000000000056e-01,9.568112562658909193e-01
-7.959183673469388820e-02,9.999999999999999547e-07,9.995374098026396092e-01
-7.959183673469388820e-02,1.264855216855295881e-06,9.995313717227078953e-01
-7.959183673469388820e-02,1.599858719606057360e-06,9.994945307978543303e-01
-7.959183673469388820e-02,2.023589647725155726e-06,9.995254493877117064e-01
-7.959183673469388820e-02,2.559547922699533382e-06,9.995491318474098996e-01
-7.959183673469388820e-02,3.237457542817646685e-06,9.995368982353920462e-01
-7.959183673469388820e-02,4.094915062380427237e-06,9.994996452797184627e-01
-7.959183673469388820e-02,5.179474679231212330e-06,9.995415787856600787e-01
-7.959183673469388820e-02,6.551285568595509496e-06,9.995544522373804863e-01
-7.959183673469388820e-02,8.286427728546842542e-06,9.995292495021651513e-01
-7.959183673469388820e-02,1.048113134154685250e-05,9.994751586495469464e-01
-7.959183673469388820e-02,1.325711365590110898e-05,9.995445712615306233e-01
-7.959183673469388820e-02,1.676832936811009972e-05,9.995004793939834542e-01
-7.959183673469388820e-02,2.120950887920192640e-05,9.995039877509538373e-01
-7.959183673469388820e-02,2.682695795279727390e-05,9.995767141035486469e-01
-7.959183673469388820e-02,3.393221771895329857e-05,9.995412136184061991e-01
-7.959183673469388820e-02,4.291934260128778017e-05,9.994614575545256452e-01
-7.959183673469388820e-02,5.428675439323859403e-05,9.995090969797396641e-01
-7.959183673469388820e-02,6.866488450042998925e-05,9.995229526119123742e-01
-7.959183673469388820e-02,8.685113737513520580e-05,9.995076538609940497e-01
-7.959183673469388820e-02,1.098541141987558346e-04,9.994279307146818336e-01
-7.959183673469388820e-02,1.389495494373137348e-04,9.994560539563299706e-01
-7.959183673469388820e-02,1.757510624854793067e-04,9.994794426096323958e-01
-7.959183673469388820e-02,2.222996482526195465e-04,9.994021191855197994e-01
-7.959183673469388820e-02,2.811768697974231118e-04,9.994105354733712199e-01
-7.959183673469388820e-02,3.556480306223128661e-04,9.993935321590305954e-01
-7.959183673469388820e-02,4.498432668969443876e-04,9.993702528809030872e-01
